#,organization,description,stars,forks,language,created_at,updated_at,archived,size_kb,has_issues,open_issues,default_branch,clone_url,html_url,repository_category_claude,repository_category
1,0xsequence,Sequence: modular web3 development platform and account abstraction stack for Ethereum chains,305,63,TypeScript,2020-02-27T16:16:01Z,2025-09-30T05:58:53Z,FALSE,22807,TRUE,35,master,https://github.com/0xsequence/sequence.js.git,https://github.com/0xsequence/sequence.js,Development Framework,Development Platform / Framework
2,0xsequence,Faster & cheaper contract key-value storage for Ethereum Contracts,442,33,JavaScript,2021-10-06T15:12:08Z,2025-09-18T16:03:17Z,FALSE,423,TRUE,7,master,https://github.com/0xsequence/sstore2.git,https://github.com/0xsequence/sstore2,Smart Contract Library,Storage Protocol
3,0xsequence,Ethereum Semi Fungible Standard (ERC-1155),320,112,TypeScript,2018-06-21T18:10:24Z,2025-09-23T09:48:10Z,FALSE,4987,TRUE,17,master,https://github.com/0xsequence/erc-1155.git,https://github.com/0xsequence/erc-1155,Smart Contract Library,Smart Contract Library
4,aave,An open source interface for the decentralized liquidity protocol Aave,458,434,TypeScript,2022-01-13T13:07:09Z,2025-10-01T15:57:18Z,FALSE,201532,TRUE,63,main,https://github.com/aave/interface.git,https://github.com/aave/interface,DApp Interface,UI / Frontend / Library
5,aave,Aave Protocol V2,721,781,TypeScript,2020-12-02T10:52:38Z,2025-09-28T13:11:35Z,FALSE,19214,TRUE,133,master,https://github.com/aave/protocol-v2.git,https://github.com/aave/protocol-v2,DeFi Protocol,DeFi Protocol
6,aave,This repository contains the core smart contracts of the Aave V3 protocol.,1015,669,TypeScript,2021-07-27T08:54:40Z,2025-10-02T07:06:31Z,FALSE,19326,TRUE,47,master,https://github.com/aave/aave-v3-core.git,https://github.com/aave/aave-v3-core,DeFi Protocol,DeFi Protocol
7,aave,Aave Protocol Version 1.0 - Decentralized Lending Pools,1436,580,HTML,2019-10-21T13:21:52Z,2025-09-27T23:54:30Z,FALSE,7333,TRUE,49,master,https://github.com/aave/aave-protocol.git,https://github.com/aave/aave-protocol,DeFi Protocol,DeFi Protocol
8,aave,A box containing all you need to get started with developing  Aave v1 flash loans,583,238,Solidity,2020-04-21T13:11:58Z,2025-09-18T19:07:27Z,FALSE,583,TRUE,25,master,https://github.com/aave/flashloan-box.git,https://github.com/aave/flashloan-box,Development Tool,Education Resource / Boilerplate
9,alchemyplatform,The complete toolbox to create web3 applications.,910,261,JavaScript,2022-08-01T00:08:27Z,2025-10-02T05:12:23Z,FALSE,7370,TRUE,11,main,https://github.com/alchemyplatform/create-web3-dapp.git,https://github.com/alchemyplatform/create-web3-dapp,Development Tool,Education Resource / Boilerplate
10,alchemyplatform,An ERC-4337 Bundler in Rust,351,79,Rust,2023-02-06T03:17:24Z,2025-10-01T17:42:09Z,FALSE,23188,TRUE,49,main,https://github.com/alchemyplatform/rundler.git,https://github.com/alchemyplatform/rundler,Infrastructure,Infrastructure
